EBRR_Program_Cohort_ID,Correctional_Facility_ID,EBRR_Programs_ID,Program_Cohort_Size_Max,Program_Cohort_Size_Min,Number_of_Cohorts,Program_Cohort_Num_Enrolled_Avg,Program_Cohort_Num_Attended_Avg,Program_Cohort_Num_Completed_Avg,Program_Cohort_Percent_Completion_Avg,Program_Cohort_Attendance_Rate_Avg,Program_Cohort_Hours_Avg,Num_Employee_Hours_Per_Cohort_Avg,Cost_Supply_Max_Per_Cohort _USD
68,10,68,30,5,32,9,1,1,1,0.111111111,270,945,500
69,10,69,30,5,45,29,16,13,0.81,0.551724138,150,525,500
70,10,70,30,5,50,8,5,3,0.6,0.625,120,420,500
71,10,71,30,5,40,22,11,3,0.27,0.5,150,525,500
72,10,72,30,5,50,27,5,1,0.2,0.185185185,150,525,500
73,10,73,30,5,40,9,0,0,0,0,120,420,500
74,10,74,30,5,8,24,12,0,0,0.5,240,840,500
75,10,75,30,5,39,18,6,4,0.67,0.333333333,120,420,500
76,10,76,30,5,11,10,1,1,1,0.1,240,840,500
77,10,77,30,5,12,29,16,12,0.75,0.551724138,210,735,500
78,10,78,30,5,50,6,5,0,0,0.833333333,120,420,500
79,10,79,30,5,49,6,0,0,0,0,180,630,500
80,11,80,30,5,36,26,3,0,0,0.115384615,300,1050,500
81,11,81,30,5,9,14,7,2,0.29,0.5,240,840,500
82,11,82,30,5,29,26,25,18,0.72,0.961538462,210,735,500
83,11,83,30,5,19,24,20,5,0.25,0.833333333,210,735,500
84,11,84,30,5,25,13,8,4,0.5,0.615384615,210,735,500
85,11,85,30,5,32,6,0,0,0,0,210,735,500
86,11,86,30,5,5,13,13,4,0.31,1,150,525,500
87,11,87,30,5,19,19,6,6,1,0.315789474,150,525,500
88,11,88,30,5,24,5,1,1,1,0.2,180,630,500
89,11,89,30,5,17,15,15,0,0,1,240,840,500
90,11,90,30,5,7,16,3,3,1,0.1875,270,945,500
91,12,91,30,5,16,26,17,12,0.71,0.653846154,240,840,500
92,12,92,30,5,40,13,5,1,0.2,0.384615385,270,945,500
93,12,93,30,5,9,21,19,14,0.74,0.904761905,210,735,500
94,12,94,30,5,16,12,7,3,0.43,0.583333333,150,525,500
95,12,95,30,5,30,29,15,0,0,0.517241379,210,735,500
96,12,96,30,5,31,10,10,3,0.3,1,150,525,500
97,12,97,30,5,37,30,16,4,0.25,0.533333333,150,525,500
98,12,98,30,5,50,21,21,15,0.71,1,150,525,500
99,12,99,30,5,11,20,3,1,0.33,0.15,150,525,500
100,12,100,30,5,9,25,12,11,0.92,0.48,240,840,500
101,12,101,30,5,39,30,27,27,1,0.9,270,945,500
102,12,102,30,5,48,11,5,1,0.2,0.454545455,60,210,500
103,12,103,30,5,38,7,1,0,0,0.142857143,180,630,500
104,13,104,30,5,22,15,14,9,0.64,0.933333333,210,735,500
105,13,105,30,5,43,7,1,0,0,0.142857143,270,945,500
106,13,106,30,5,20,18,9,1,0.11,0.5,100,350,500
107,13,107,30,5,46,21,2,0,0,0.095238095,300,1050,500
108,13,108,30,5,44,19,8,2,0.25,0.421052632,270,945,500
109,13,109,30,5,6,8,0,0,0,0,240,840,500
110,13,110,30,5,34,30,15,12,0.8,0.5,300,1050,500
111,13,111,30,5,44,10,2,0,0,0.2,150,525,500
112,13,112,30,5,11,23,2,2,1,0.086956522,240,840,500
113,13,113,30,5,29,22,0,0,0,0,100,350,500
114,13,114,30,5,34,18,5,4,0.8,0.277777778,210,735,500
115,13,115,30,5,43,20,6,5,0.83,0.3,240,840,500
116,13,116,30,5,5,21,18,11,0.61,0.857142857,300,1050,500
117,13,117,30,5,42,18,9,0,0,0.5,240,840,500
118,13,118,30,5,42,27,11,3,0.27,0.407407407,60,210,500
119,13,119,30,5,5,20,11,2,0.18,0.55,270,945,500
120,13,120,30,5,21,9,0,0,0,0,210,735,500
121,14,121,30,5,20,16,9,0,0,0.5625,120,420,500
122,14,122,30,5,15,11,3,3,1,0.272727273,240,840,500
123,14,123,30,5,37,21,21,16,0.76,1,210,735,500
124,14,124,30,5,23,20,4,3,0.75,0.2,210,735,500
125,14,125,30,5,48,5,2,2,1,0.4,100,350,500
126,14,126,30,5,49,7,2,2,1,0.285714286,150,525,500
127,14,127,30,5,33,21,15,8,0.53,0.714285714,300,1050,500
128,14,128,30,5,24,9,4,4,1,0.444444444,100,350,500
129,14,129,30,5,20,19,1,1,1,0.052631579,300,1050,500
130,14,130,30,5,15,20,11,9,0.82,0.55,120,420,500
131,14,131,30,5,5,14,13,5,0.38,0.928571429,180,630,500
132,14,132,30,5,33,29,17,10,0.59,0.586206897,270,945,500
133,14,133,30,5,50,15,2,2,1,0.133333333,150,525,500
134,14,134,30,5,33,7,4,4,1,0.571428571,300,1050,500
135,14,135,30,5,35,13,10,0,0,0.769230769,60,210,500
136,15,136,30,5,22,20,5,3,0.6,0.25,60,210,500
137,15,137,30,5,47,26,14,2,0.14,0.538461538,240,840,500
138,15,138,30,5,36,16,15,12,0.8,0.9375,180,630,500
139,15,139,30,5,44,15,2,1,0.5,0.133333333,270,945,500
140,15,140,30,5,39,13,6,3,0.5,0.461538462,60,210,500
141,15,141,30,5,21,10,1,0,0,0.1,300,1050,500
142,15,142,30,5,17,30,4,4,1,0.133333333,210,735,500
143,15,143,30,5,19,17,8,3,0.38,0.470588235,210,735,500
144,15,144,30,5,47,13,6,0,0,0.461538462,180,630,500
145,15,145,30,5,31,24,11,9,0.82,0.458333333,100,350,500
146,15,146,30,5,25,13,12,7,0.58,0.923076923,60,210,500
147,15,147,30,5,33,8,4,1,0.25,0.5,100,350,500
148,15,148,30,5,47,20,12,8,0.67,0.6,300,1050,500
149,15,149,30,5,26,7,6,1,0.17,0.857142857,300,1050,500
150,15,150,30,5,22,28,12,11,0.92,0.428571429,150,525,500
151,15,151,30,5,46,11,1,0,0,0.090909091,180,630,500
152,15,152,30,5,6,30,21,13,0.62,0.7,120,420,500
153,15,153,30,5,8,22,11,1,0.09,0.5,300,1050,500
154,15,154,30,5,10,24,12,7,0.58,0.5,300,1050,500
155,15,155,30,5,44,5,2,0,0,0.4,60,210,500
156,15,156,30,5,6,23,14,5,0.36,0.608695652,240,840,500
157,15,157,30,5,13,20,3,1,0.33,0.15,300,1050,500
158,15,158,30,5,18,11,1,1,1,0.090909091,240,840,500
159,16,159,30,5,49,25,15,1,0.07,0.6,240,840,500
160,16,160,30,5,12,15,15,14,0.93,1,60,210,500
161,16,161,30,5,14,18,13,5,0.38,0.722222222,60,210,500
162,16,162,30,5,15,18,1,0,0,0.055555556,300,1050,500
163,16,163,30,5,50,15,5,5,1,0.333333333,270,945,500
164,17,164,30,5,45,15,4,2,0.5,0.266666667,100,350,500
165,17,165,30,5,22,25,12,1,0.08,0.48,60,210,500
166,17,166,30,5,28,28,23,0,0,0.821428571,180,630,500
167,17,167,30,5,38,9,9,6,0.67,1,300,1050,500
168,17,168,30,5,31,24,5,5,1,0.208333333,270,945,500
169,17,169,30,5,14,22,16,4,0.25,0.727272727,150,525,500
170,17,170,30,5,20,28,14,13,0.93,0.5,180,630,500
171,17,171,30,5,36,7,0,0,0,0,210,735,500
172,18,172,30,5,29,30,6,3,0.5,0.2,240,840,500
173,18,173,30,5,21,22,5,0,0,0.227272727,120,420,500
174,18,174,30,5,15,13,3,2,0.67,0.230769231,300,1050,500
175,18,175,30,5,33,11,10,1,0.1,0.909090909,150,525,500
176,18,176,30,5,12,29,19,14,0.74,0.655172414,60,210,500
177,18,177,30,5,21,27,4,0,0,0.148148148,300,1050,500
178,18,178,30,5,22,15,2,0,0,0.133333333,120,420,500
179,18,179,30,5,41,16,2,0,0,0.125,100,350,500
180,18,180,30,5,41,20,10,3,0.3,0.5,100,350,500
181,18,181,30,5,37,15,7,1,0.14,0.466666667,210,735,500
182,18,182,30,5,13,12,9,4,0.44,0.75,210,735,500
183,18,183,30,5,6,30,21,14,0.67,0.7,150,525,500
184,18,184,30,5,46,8,4,2,0.5,0.5,240,840,500
185,19,185,30,5,30,28,3,2,0.67,0.107142857,60,210,500
186,20,186,30,5,34,29,2,0,0,0.068965517,210,735,500
187,21,187,30,5,11,20,2,2,1,0.1,180,630,500
188,22,188,30,5,27,26,24,23,0.96,0.923076923,150,525,500
189,22,189,30,5,28,24,9,5,0.56,0.375,210,735,500
190,22,190,30,5,45,16,12,8,0.67,0.75,120,420,500
191,22,191,30,5,13,19,6,5,0.83,0.315789474,240,840,500
192,22,192,30,5,19,22,15,8,0.53,0.681818182,210,735,500
193,22,193,30,5,39,28,11,3,0.27,0.392857143,270,945,500
194,22,194,30,5,34,23,11,11,1,0.47826087,150,525,500
195,22,195,30,5,39,26,26,20,0.77,1,240,840,500
196,22,196,30,5,45,15,7,6,0.86,0.466666667,210,735,500
197,23,197,30,5,5,22,1,1,1,0.045454545,270,945,500
198,23,198,30,5,41,24,14,10,0.71,0.583333333,100,350,500
199,23,199,30,5,32,23,16,1,0.06,0.695652174,240,840,500
200,23,200,30,5,43,23,14,3,0.21,0.608695652,60,210,500
201,23,201,30,5,37,23,20,2,0.1,0.869565217,60,210,500
202,23,202,30,5,38,17,15,5,0.33,0.882352941,60,210,500
203,23,203,30,5,13,14,8,5,0.63,0.571428571,120,420,500
204,24,204,30,5,26,19,12,4,0.33,0.631578947,100,350,500
205,24,205,30,5,33,20,7,5,0.71,0.35,150,525,500
206,24,206,30,5,10,8,2,0,0,0.25,120,420,500
207,25,207,30,5,12,19,7,5,0.71,0.368421053,60,210,500
208,25,208,30,5,41,29,6,4,0.67,0.206896552,180,630,500
209,26,209,30,5,32,12,9,1,0.11,0.75,180,630,500
210,26,210,30,5,23,24,12,11,0.92,0.5,270,945,500
211,26,211,30,5,49,17,13,1,0.08,0.764705882,60,210,500
212,26,212,30,5,14,17,7,5,0.71,0.411764706,300,1050,500
213,26,213,30,5,25,23,13,3,0.23,0.565217391,60,210,500
214,26,214,30,5,9,28,10,7,0.7,0.357142857,270,945,500
215,26,215,30,5,50,5,1,1,1,0.2,240,840,500
216,27,216,30,5,14,16,10,10,1,0.625,150,525,500
217,27,217,30,5,37,7,4,2,0.5,0.571428571,240,840,500
218,27,218,30,5,41,26,5,0,0,0.192307692,300,1050,500
219,28,219,30,5,13,10,1,0,0,0.1,300,1050,500
220,28,220,30,5,26,29,3,0,0,0.103448276,240,840,500
221,28,221,30,5,48,25,5,1,0.2,0.2,270,945,500
222,28,222,30,5,26,11,10,7,0.7,0.909090909,100,350,500
223,28,223,30,5,22,26,5,2,0.4,0.192307692,150,525,500
224,28,224,30,5,45,7,3,3,1,0.428571429,60,210,500
225,29,225,30,5,6,14,0,0,0,0,240,840,500
226,29,226,30,5,50,19,13,8,0.62,0.684210526,300,1050,500
227,29,227,30,5,20,24,20,18,0.9,0.833333333,100,350,500
228,29,228,30,5,15,24,8,3,0.38,0.333333333,150,525,500
229,29,229,30,5,10,6,1,1,1,0.166666667,150,525,500
230,29,230,30,5,16,26,16,10,0.63,0.615384615,60,210,500
231,29,231,30,5,11,5,5,5,1,1,120,420,500
232,29,232,30,5,39,7,0,0,0,0,300,1050,500
233,29,233,30,5,29,27,18,11,0.61,0.666666667,150,525,500
234,30,234,30,5,17,19,10,9,0.9,0.526315789,180,630,500
235,30,235,30,5,13,29,7,1,0.14,0.24137931,270,945,500
236,30,236,30,5,6,29,19,16,0.84,0.655172414,300,1050,500
237,30,237,30,5,35,6,0,0,0,0,210,735,500
238,30,238,30,5,21,29,22,2,0.09,0.75862069,120,420,500
239,30,239,30,5,31,28,3,3,1,0.107142857,180,630,500
240,30,240,30,5,12,20,5,2,0.4,0.25,240,840,500
241,30,241,30,5,12,18,1,0,0,0.055555556,100,350,500
242,30,242,30,5,40,14,13,9,0.69,0.928571429,180,630,500
243,30,243,30,5,24,16,6,4,0.67,0.375,150,525,500
244,30,244,30,5,17,21,18,3,0.17,0.857142857,270,945,500
245,31,245,30,5,28,8,3,1,0.33,0.375,150,525,500
246,32,246,30,5,49,20,9,6,0.67,0.45,180,630,500
247,32,247,30,5,6,11,2,1,0.5,0.181818182,300,1050,500
248,33,248,30,5,35,13,8,5,0.63,0.615384615,150,525,500
249,34,249,30,5,22,12,7,2,0.29,0.583333333,240,840,500
250,35,250,30,5,41,25,0,0,0,0,60,210,500
251,36,251,30,5,45,8,3,0,0,0.375,270,945,500
252,37,252,30,5,37,13,12,10,0.83,0.923076923,210,735,500
253,38,253,30,5,26,20,16,7,0.44,0.8,210,735,500
254,39,254,30,5,17,19,11,5,0.45,0.578947368,120,420,500
255,40,255,30,5,23,28,14,8,0.57,0.5,270,945,500
256,41,256,30,5,21,18,1,0,0,0.055555556,120,420,500
257,42,257,30,5,43,29,6,4,0.67,0.206896552,180,630,500
258,43,258,30,5,45,27,23,16,0.7,0.851851852,60,210,500
259,44,259,30,5,9,18,11,1,0.09,0.611111111,270,945,500
260,45,260,30,5,37,9,9,3,0.33,1,270,945,500
261,46,261,30,5,48,6,3,1,0.33,0.5,180,630,500
262,47,262,30,5,48,23,23,5,0.22,1,210,735,500
263,47,263,30,5,9,6,6,4,0.67,1,150,525,500
264,47,264,30,5,25,30,15,12,0.8,0.5,240,840,500
265,48,265,30,5,10,30,4,4,1,0.133333333,180,630,500
266,49,266,30,5,34,21,13,8,0.62,0.619047619,210,735,500
267,50,267,30,5,45,16,7,1,0.14,0.4375,150,525,500
268,51,268,30,5,37,26,8,0,0,0.307692308,240,840,500
269,52,269,30,5,48,30,7,5,0.71,0.233333333,210,735,500
270,53,270,30,5,47,17,1,1,1,0.058823529,300,1050,500
271,54,271,30,5,22,22,17,15,0.88,0.772727273,150,525,500
272,54,272,30,5,18,13,0,0,0,0,150,525,500
273,54,273,30,5,18,17,9,1,0.11,0.529411765,150,525,500
274,54,274,30,5,50,7,1,0,0,0.142857143,150,525,500
275,54,275,30,5,23,26,13,12,0.92,0.5,180,630,500
276,54,276,30,5,39,29,6,0,0,0.206896552,100,350,500
277,54,277,30,5,19,17,14,13,0.93,0.823529412,240,840,500
278,54,278,30,5,33,7,6,6,1,0.857142857,100,350,500
279,54,279,30,5,32,25,5,0,0,0.2,300,1050,500
280,54,280,30,5,6,8,0,0,0,0,100,350,500
281,55,281,30,5,5,27,27,21,0.78,1,210,735,500
282,55,282,30,5,48,10,7,7,1,0.7,120,420,500
283,55,283,30,5,9,23,19,9,0.47,0.826086957,100,350,500
284,55,284,30,5,11,18,10,9,0.9,0.555555556,240,840,500
285,55,285,30,5,36,17,14,6,0.43,0.823529412,60,210,500
286,55,286,30,5,12,28,16,6,0.38,0.571428571,120,420,500
287,55,287,30,5,34,20,9,7,0.78,0.45,270,945,500
288,56,288,30,5,7,30,26,10,0.38,0.866666667,240,840,500
289,56,289,30,5,39,23,5,1,0.2,0.217391304,210,735,500
290,56,290,30,5,22,5,5,4,0.8,1,240,840,500
291,56,291,30,5,22,13,9,4,0.44,0.692307692,180,630,500
292,56,292,30,5,10,30,28,20,0.71,0.933333333,270,945,500
293,56,293,30,5,33,10,4,3,0.75,0.4,100,350,500
294,56,294,30,5,15,14,7,7,1,0.5,100,350,500
295,56,295,30,5,15,28,10,8,0.8,0.357142857,210,735,500
296,56,296,30,5,11,28,25,5,0.2,0.892857143,150,525,500
297,56,297,30,5,33,9,6,6,1,0.666666667,300,1050,500
298,56,298,30,5,45,26,1,0,0,0.038461538,150,525,500
299,56,299,30,5,27,11,1,0,0,0.090909091,210,735,500
300,56,300,30,5,20,9,0,0,0,0,210,735,500
301,1,1,30,5,28,18,0,0,0,0,210,735,500
302,1,2,30,5,35,17,1,0,0,0.058823529,60,210,500
303,1,3,30,5,28,15,5,2,0.4,0.333333333,100,350,500
304,1,4,30,5,23,16,10,7,0.7,0.625,100,350,500
305,1,5,30,5,25,13,8,5,0.63,0.615384615,120,420,500
306,1,6,30,5,12,16,5,5,1,0.3125,150,525,500
307,1,7,30,5,29,6,2,1,0.5,0.333333333,180,630,500
308,1,8,30,5,33,27,16,1,0.06,0.592592593,300,1050,500
309,1,9,30,5,9,28,22,5,0.23,0.785714286,300,1050,500
310,1,10,30,5,35,23,22,7,0.32,0.956521739,150,525,500
311,2,11,30,5,22,10,8,4,0.5,0.8,180,630,500
312,2,12,30,5,17,15,8,5,0.63,0.533333333,240,840,500
313,2,13,30,5,45,6,6,3,0.5,1,60,210,500
314,2,14,30,5,42,26,11,1,0.09,0.423076923,150,525,500
315,2,15,30,5,39,7,1,1,1,0.142857143,100,350,500
316,2,16,30,5,19,9,0,0,0,0,210,735,500
317,2,17,30,5,44,15,10,3,0.3,0.666666667,240,840,500
318,2,18,30,5,43,16,2,0,0,0.125,100,350,500
319,2,19,30,5,26,13,13,4,0.31,1,270,945,500
320,2,20,30,5,38,18,15,9,0.6,0.833333333,240,840,500
321,2,21,30,5,36,29,23,4,0.17,0.793103448,270,945,500
322,2,22,30,5,39,11,10,8,0.8,0.909090909,120,420,500
323,2,23,30,5,18,27,1,1,1,0.037037037,120,420,500
324,2,24,30,5,23,7,0,0,0,0,240,840,500
325,3,25,30,5,37,18,3,0,0,0.166666667,240,840,500
326,4,26,30,5,49,9,9,9,1,1,210,735,500
327,5,27,30,5,10,11,5,1,0.2,0.454545455,300,1050,500
328,6,28,30,5,5,11,9,9,1,0.818181818,300,1050,500
329,6,29,30,5,45,22,7,4,0.57,0.318181818,150,525,500
330,6,30,30,5,35,6,0,0,0,0,120,420,500
331,6,31,30,5,35,8,0,0,0,0,210,735,500
332,6,32,30,5,10,21,1,0,0,0.047619048,100,350,500
333,6,33,30,5,44,18,4,3,0.75,0.222222222,60,210,500
334,6,34,30,5,43,11,7,2,0.29,0.636363636,240,840,500
335,6,35,30,5,14,7,7,1,0.14,1,100,350,500
336,6,36,30,5,41,27,2,2,1,0.074074074,150,525,500
337,6,37,30,5,12,6,0,0,0,0,210,735,500
338,6,38,30,5,12,7,0,0,0,0,180,630,500
339,6,39,30,5,22,10,10,9,0.9,1,210,735,500
340,6,40,30,5,47,8,2,2,1,0.25,120,420,500
341,6,41,30,5,24,26,0,0,0,0,120,420,500
342,6,42,30,5,11,30,3,3,1,0.1,120,420,500
343,7,43,30,5,31,27,18,10,0.56,0.666666667,60,210,500
344,7,44,30,5,50,25,15,8,0.53,0.6,100,350,500
345,7,45,30,5,7,22,21,14,0.67,0.954545455,60,210,500
346,7,46,30,5,14,11,4,1,0.25,0.363636364,120,420,500
347,7,47,30,5,31,12,7,3,0.43,0.583333333,270,945,500
348,7,48,30,5,10,5,1,0,0,0.2,60,210,500
349,7,49,30,5,18,9,6,6,1,0.666666667,120,420,500
350,7,50,30,5,13,21,10,0,0,0.476190476,180,630,500
351,7,51,30,5,24,15,2,0,0,0.133333333,100,350,500
352,7,52,30,5,46,23,13,9,0.69,0.565217391,180,630,500
353,7,53,30,5,42,6,6,6,1,1,210,735,500
354,7,54,30,5,14,10,10,9,0.9,1,270,945,500
355,7,55,30,5,14,11,0,0,0,0,240,840,500
356,7,56,30,5,34,8,6,5,0.83,0.75,300,1050,500
357,7,57,30,5,44,6,5,0,0,0.833333333,270,945,500
358,8,58,30,5,11,18,11,7,0.64,0.611111111,300,1050,500
359,8,59,30,5,30,16,13,11,0.85,0.8125,180,630,500
360,8,60,30,5,9,12,9,4,0.44,0.75,210,735,500
361,8,61,30,5,38,19,14,2,0.14,0.736842105,150,525,500
362,8,62,30,5,19,26,26,2,0.08,1,100,350,500
363,8,63,30,5,38,10,6,6,1,0.6,120,420,500
364,8,64,30,5,20,23,20,8,0.4,0.869565217,60,210,500
365,8,65,30,5,21,27,10,5,0.5,0.37037037,270,945,500
366,8,66,30,5,18,17,17,6,0.35,1,300,1050,500
367,9,67,30,5,5,20,19,8,0.42,0.95,300,1050,500
368,10,68,30,5,12,6,4,4,1,0.666666667,150,525,500
369,10,69,30,5,38,28,5,2,0.4,0.178571429,240,840,500
370,10,70,30,5,39,20,2,1,0.5,0.1,60,210,500
371,10,71,30,5,10,29,15,1,0.07,0.517241379,120,420,500
372,10,72,30,5,18,28,13,2,0.15,0.464285714,180,630,500
373,10,73,30,5,41,14,0,0,0,0,210,735,500
374,10,74,30,5,45,18,18,17,0.94,1,100,350,500
375,10,75,30,5,6,10,2,1,0.5,0.2,180,630,500
376,10,76,30,5,28,11,8,4,0.5,0.727272727,150,525,500
377,10,77,30,5,43,25,22,14,0.64,0.88,210,735,500
378,10,78,30,5,29,26,17,2,0.12,0.653846154,270,945,500
379,10,79,30,5,46,21,4,4,1,0.19047619,300,1050,500
380,11,80,30,5,43,28,7,5,0.71,0.25,240,840,500
381,11,81,30,5,47,10,0,0,0,0,180,630,500
382,11,82,30,5,47,6,5,0,0,0.833333333,270,945,500
383,11,83,30,5,32,21,20,7,0.35,0.952380952,120,420,500
384,11,84,30,5,6,14,13,5,0.38,0.928571429,270,945,500
385,11,85,30,5,18,20,10,10,1,0.5,180,630,500
386,11,86,30,5,6,12,9,8,0.89,0.75,270,945,500
387,11,87,30,5,14,21,9,8,0.89,0.428571429,180,630,500
388,11,88,30,5,21,13,1,1,1,0.076923077,60,210,500
389,11,89,30,5,28,14,13,9,0.69,0.928571429,300,1050,500
390,11,90,30,5,45,23,12,8,0.67,0.52173913,240,840,500
391,12,91,30,5,38,28,0,0,0,0,240,840,500
392,12,92,30,5,12,6,4,3,0.75,0.666666667,180,630,500
393,12,93,30,5,38,12,4,3,0.75,0.333333333,60,210,500
394,12,94,30,5,48,18,15,8,0.53,0.833333333,60,210,500
395,12,95,30,5,14,19,16,4,0.25,0.842105263,210,735,500
396,12,96,30,5,42,27,27,9,0.33,1,300,1050,500
397,12,97,30,5,40,12,12,11,0.92,1,150,525,500
398,12,98,30,5,35,30,5,5,1,0.166666667,60,210,500
399,12,99,30,5,35,23,22,19,0.86,0.956521739,270,945,500
400,12,100,30,5,44,23,3,0,0,0.130434783,240,840,500
401,12,101,30,5,17,17,9,1,0.11,0.529411765,120,420,500
402,12,102,30,5,9,24,11,11,1,0.458333333,100,350,500
403,12,103,30,5,15,11,6,5,0.83,0.545454545,300,1050,500
404,13,104,30,5,19,6,6,1,0.17,1,100,350,500
405,13,105,30,5,46,28,8,2,0.25,0.285714286,150,525,500
406,13,106,30,5,19,23,21,5,0.24,0.913043478,150,525,500
407,13,107,30,5,41,16,12,10,0.83,0.75,240,840,500
408,13,108,30,5,38,15,5,1,0.2,0.333333333,60,210,500
409,13,109,30,5,15,22,8,2,0.25,0.363636364,150,525,500
410,13,110,30,5,29,7,1,1,1,0.142857143,60,210,500
411,13,111,30,5,46,29,29,7,0.24,1,270,945,500
412,13,112,30,5,38,24,10,10,1,0.416666667,300,1050,500
413,13,113,30,5,38,13,13,2,0.15,1,120,420,500
414,13,114,30,5,7,16,5,0,0,0.3125,270,945,500
415,13,115,30,5,49,16,1,0,0,0.0625,120,420,500
416,13,116,30,5,47,20,16,4,0.25,0.8,150,525,500
417,13,117,30,5,11,22,0,0,0,0,210,735,500
418,13,118,30,5,19,6,5,0,0,0.833333333,300,1050,500
