Table,Column Name,Data Type,Field Size,Null,Keys,Description,Example(s)
Inmate_Details,Violations_FailToReport,boolean,,Not Null,,Any Violation for Failure to Report. ,"TRUE
FALSE"
Inmate_Details,Violations_MoveWithoutPermission,boolean,,Not Null,,Any Violation for Moving Without Permission. ,"TRUE
FALSE"
Inmate_Details,Delinquency_Reports,text,,Not Null,,"	# Parole Delinquency Reports. ","0
1
2
3 
4 or more"
Inmate_Details,Program_Attendances,text,,Not Null,,"	# Program Attendances. ","0
1
2
3 
10 or more"
Inmate_Details,Program_UnexcusedAbsences,text,,Not Null,,# Program Unexcused Absences. ,"0
1
2
3 or more"
Inmate_Details,Residence_Changes,text,,Not Null,,"	# Residence Changes/Moves (new zip codes) During Parole. ","0
1
2
3 or more"
Inmate_Details,Avg_Days_per_DrugTest,numeric,,Null,,Average Days on Parole Between Drug Tests. ,"25.4
31
43.14285714"
Inmate_Details,DrugTests_THC_Positive,numeric,,Null,,"	% Drug Tests Positive for THC/Marijuana. ","0
0.039999999
0.300000012
1"
Inmate_Details,DrugTests_Cocaine_Positive,numeric,,Null,,"	% Drug Tests Positive for Cocaine. ","0
0.039999999
0.300000012
1"
Inmate_Details,DrugTests_Meth_Positive,numeric,,Null,,% Drug Tests Positive for Methamphetamine. ,"0
0.039999999
0.300000012
1"
Inmate_Details,DrugTests_Other_Positive,numeric,,Null,,% Drug Tests Positive for Other Drug. ,"0
0.039999999
0.300000012
1"
Inmate_Details,Percent_Days_Employed,numeric,,Null,,"	% Days Employed While on Parole. ","0
0.039999999
0.300000012
1"
Inmate_Details,Jobs_Per_Year,numeric,,Null,,Jobs Per Year While on Parole. ,"0
0.039999999
1
2.300000012
8"
Inmate_Details,Employment_Exempt,boolean,,Not Null,,Employment is Not Required (Exempted). ,"TRUE
FALSE"
Inmate_Details,Recidivism_Within_3years,boolean,,Not Null,,New Felony/Mis Crime Arrest within 3 Years of Supervision Start. Recidivism is measured as an arrest for a new felony or misdemeanor crime within three years of the supervision start date.,"TRUE
FALSE"
Inmate_Details,Recidivism_Arrest_Year1,boolean,,Not Null,,Recidivism Arrest Occurred in Year 1. Recidivism is measured as an arrest for a new felony or misdemeanor crime within three years of the supervision start date.,"TRUE
FALSE"
Inmate_Details,Recidivism_Arrest_Year2,boolean,,Not Null,,Recidivism Arrest Occurred in Year 2. Recidivism is measured as an arrest for a new felony or misdemeanor crime within three years of the supervision start date.,"TRUE
FALSE"
Inmate_Details,Recidivism_Arrest_Year3,boolean,,Not Null,,Recidivism Arrest Occurred in Year 3. Recidivism is measured as an arrest for a new felony or misdemeanor crime within three years of the supervision start date.,"TRUE
FALSE"
Residence_Prison Release_PUMA,Release_PUMA_ID_Code,integer,,Not Null,primary key,Unique PUMA ID code.,"1
2
3
25"
Residence_Prison Release_PUMA,PUMAs_included,text,,Not Null,,Residence at Prison Release by US Census Bureau Public Use Microdata Area (PUMA) Group Defined.,"01003, 04400
02001, 02002, 02003, 04005"
Correctional_Facilities,Correctional_Facility_ID,integer,,Not Null,primary key,Unique identifying code representing the name of a correctional facility or institution.,"1
2
3
56"
Correctional_Facilities,Correctional_Facility_Name,text,,Not Null,,Name of the correctional facility.,"Screven County Ci
Lee State Prison"
Correctional_Facilities,Facility_Sec_Level,text,,Null,,Security level of the correctional facility.,"minimum
medium
high
special"
Correctional_Facilities,Avg_Cost_Per_Employee_Hour_USD,"numeric(4,2)",,Not Null,,Average actual cost per hour (USD) for one correctional officer to conduct the Evidence-Based Recidivism Reduction (ESBRR) Program and/or oversee inmate attendance to the program.,27.38
Correctional_Facilities,Average_Daily_Inmate_Population,integer,,Not Null,,Average actual daily total inmate population or census within the correctional facility.,"192
786"
Correctional_Facilities,Average_Inmate_to_CO_Ratio,integer,,Null,,Average number of inmates to one correctional officer within the correctional facility.,"70
95
183"
EBRR_Programs,EBRR_Programs_ID,integer,,Not Null,primary key,Unique identifying code representing a Evidence-Based Recidivism Reduction (EBRR) program offered at a correctional facility.,"1
2
3
56"
EBRR_Programs,Correctional_Facility_ID,integer,,Not Null,foreign key,Unique identifying code representing the name of a correctional facility or institution.,"1
2
3
56"
EBRR_Programs,EBRR_CTE_Program,boolean,,Not Null,,Indicates whether the program offered is a CTE type program,"TRUE
FALSE"
EBRR_Programs,EBRR_Skills_Training,boolean,,Not Null,,Indicates whether the program offered is a Skills Training type program,"TRUE
FALSE"
EBRR_Programs,EBRR_Soft_Skills,boolean,,Not Null,,Indicates whether the program offered is a Soft Skills type program,"TRUE
FALSE"
EBRR_Programs,EBRR_Work_Ready,text,,Not Null,,Indicates whether the program offered is a Work Ready type program,"TRUE
FALSE"
EBRR_Program_Cohorts,EBRR_Program_Cohort_ID,integer,,Not Null,primary key,Unique identifying code representing a cohort in an Evidence-Based Recidivism Reduction (EBRR) program.,"1
5
863"
EBRR_Program_Cohorts,Correctional_Facility_ID,text,,Not Null,foreign key,Unique identifying code representing the name of a correctional facility or institution.,"1
2
3
56"
EBRR_Program_Cohorts,EBRR_Programs_ID,integer,,Not Null,foreign key,Unique identifying code representing a Evidence-Based Recidivism Reduction (EBRR) program offered at a correctional facility.,"1
2
3
56"
EBRR_Program_Cohorts,Program_Cohort_Size_Max,integer,,Null,,The maximum number of enrolled inmates in the Evidence-Based Recidivism Reduction (EBRR) program cohort offered. Will always be 30.,30
EBRR_Program_Cohorts,Program_Cohort_Size_Min,integer,,Null,,The minimum number of enrolled inmates in the Evidence-Based Recidivism Reduction (EBRR) program cohort offered. Will always be 5.,5
EBRR_Program_Cohorts,Number_of_Cohorts,integer,,Null,,The total number of cohorts of a given Evidence-Based Recidivism Reduction (EBRR) program offered at a given correctional institution.,"1
2
5
10
50"
EBRR_Program_Cohorts,Program_Cohort_Num_Enrolled_Avg,integer,,Null,,The actual number of enrolled inmates in the Evidence-Based Recidivism Reduction (EBRR) program cohort offered.,"0
1
2
30"
EBRR_Program_Cohorts,Program_Cohort_Num_Attended_Avg,integer,,Null,,The actual number of enrolled inmates who attended at least one session of the Evidence-Based Recidivism Reduction (EBRR) program cohort.,"0
1
2
30"
EBRR_Program_Cohorts,Program_Cohort_Num_Completed_Avg,integer,,Null,,The actual number of enrolled inmates who completed the Evidence-Based Recidivism Reduction (EBRR) program cohort. ,"0
1
2
30"
EBRR_Program_Cohorts,Program_Cohort_Percent_Completion_Avg,numeric,,Null,,Percent of the number of inmates who attended at least one session of the Evidence-Based Recidivism Reduction (EBRR) program cohort that completed the EBRR program as offered.,"0
.112
.537
1"
EBRR_Program_Cohorts,Program_Cohort_Attendance_Rate_Avg,numeric,,Null,,Percent of the number of inmates who enrolled in the Evidence-Based Recidivism Reduction (EBRR) program cohort offered that actually attended at least one session of the EBRR program as offered.,"0
.112
.537
1"
EBRR_Program_Cohorts,Program_Cohort_Hours_Avg,integer,,Null,,The total number of hours (of all sessions) of the Evidence-Based Recidivism Reduction (EBRR) program cohort offered.,"50
60
120
270
300"
EBRR_Program_Cohorts,Num_Employee_Hours_Per_Cohort_Avg,integer,,Null,,"The total number of on-the-clock hours correctional officer(s) are required for the coordinating, facilitating, managing any part of the Evidence-Based Recidivism Reduction (EBRR) cohort offered. Will always be 3.5 times the Program_Cohort_Hours_Avg.","210
525
1050"
EBRR_Program_Cohorts,Cost_Supply_Max_Per_Cohort _USD,integer,,Null,,The cost to cover incidentals and materials needed for the Evidence-Based Recidivism Reduction (EBRR) program to be carried out. Maximum cost that can be billed is $500 USD.,500
